date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2021-01-04,504000.0,6.43,0.032941,504000.0,504000.0,0.0
2021-01-05,0.0,7.03,0.092749,504000.0,0.0,0.0
2021-01-06,-6724000.0,7.1,0.010254,-6220000.0,0.0,-6724000.0
2021-01-07,-5085000.0,7.17,0.009432,-11305000.0,0.0,-5085000.0
2021-01-08,-2206000.0,7.01,-0.022857,-13511000.0,0.0,-2206000.0
2021-01-11,0.0,7.25,0.035067,-13511000.0,0.0,0.0
2021-01-12,0.0,7.28,0.003171,-13511000.0,0.0,0.0
2021-01-13,-5653000.0,7.18,-0.013415,-19164000.0,0.0,-5653000.0
2021-01-14,0.0,6.86,-0.04383,-19164000.0,0.0,0.0
2021-01-15,0.0,7.21,0.050079,-19164000.0,0.0,0.0
2021-01-18,0.0,7.21,-0.000222,-19164000.0,0.0,0.0
2021-01-19,0.0,6.31,-0.124049,-19164000.0,0.0,0.0
2021-01-20,8275000.0,6.15,-0.025604,-10889000.0,8275000.0,0.0
2021-01-21,0.0,6.15,0.0,-10889000.0,0.0,0.0
2021-01-25,6870000.0,6.63,0.078263,-4019000.0,6870000.0,0.0
2021-01-26,4085000.0,6.82,0.029,66000.0,4085000.0,0.0
2021-01-27,-6719000.0,7.17,0.050268,-6653000.0,0.0,-6719000.0
2021-01-28,-1086000.0,6.96,-0.028285,-7739000.0,0.0,-1086000.0
2021-01-29,-6047000.0,6.44,-0.075477,-13786000.0,0.0,-6047000.0
2021-02-01,0.0,7.87,0.223094,-13786000.0,0.0,0.0
2021-02-02,0.0,7.85,-0.003645,-13786000.0,0.0,0.0
2021-02-03,-7074000.0,7.54,-0.03941,-20860000.0,0.0,-7074000.0
2021-02-04,0.0,8.33,0.105036,-20860000.0,0.0,0.0
2021-02-05,0.0,7.95,-0.045256,-20860000.0,0.0,0.0
2021-02-08,0.0,8.06,0.013797,-20860000.0,0.0,0.0
2021-02-09,0.0,7.83,-0.028632,-20860000.0,0.0,0.0
2021-02-10,0.0,8.14,0.039501,-20860000.0,0.0,0.0
2021-02-11,0.0,7.89,-0.030051,-20860000.0,0.0,0.0
2021-02-12,-2557000.0,8.11,0.027752,-23417000.0,0.0,-2557000.0
2021-02-16,0.0,8.71,0.07407,-23417000.0,0.0,0.0
2021-02-17,0.0,9.0,0.03276,-23417000.0,0.0,0.0
2021-02-18,-2724000.0,8.63,-0.040998,-26141000.0,0.0,-2724000.0
2021-02-19,0.0,8.75,0.013717,-26141000.0,0.0,0.0
2021-02-22,-1336000.0,8.43,-0.036869,-27477000.0,0.0,-1336000.0
2021-02-23,0.0,7.97,-0.053968,-27477000.0,0.0,0.0
2021-02-24,0.0,7.63,-0.043324,-27477000.0,0.0,0.0
2021-02-25,0.0,7.53,-0.013059,-27477000.0,0.0,0.0
2021-02-26,0.0,7.49,-0.004716,-27477000.0,0.0,0.0
2021-03-01,0.0,7.52,0.004111,-27477000.0,0.0,0.0
2021-03-02,-6219000.0,7.86,0.044399,-33696000.0,0.0,-6219000.0
2021-03-03,-6106000.0,7.73,-0.016355,-39802000.0,0.0,-6106000.0
2021-03-04,-1159000.0,7.34,-0.049986,-40961000.0,0.0,-1159000.0
2021-03-05,-4490000.0,7.1,-0.032457,-45451000.0,0.0,-4490000.0
2021-03-08,0.0,6.9,-0.028859,-45451000.0,0.0,0.0
2021-03-09,0.0,6.89,-0.001609,-45451000.0,0.0,0.0
2021-03-10,0.0,7.05,0.023579,-45451000.0,0.0,0.0
2021-03-11,0.0,6.92,-0.018341,-45451000.0,0.0,0.0
2021-03-12,0.0,6.58,-0.049634,-45451000.0,0.0,0.0
2021-03-15,-965000.0,6.01,-0.085965,-46416000.0,0.0,-965000.0
2021-03-17,11015000.0,6.16,0.023937,-35401000.0,11015000.0,0.0
2021-03-18,-1903000.0,5.94,-0.0347,-37304000.0,0.0,-1903000.0
2021-03-19,0.0,6.2,0.04342,-37304000.0,0.0,0.0
2021-03-22,1134000.0,6.46,0.041177,-36170000.0,1134000.0,0.0
2021-03-23,3896000.0,6.13,-0.050036,-32274000.0,3896000.0,0.0
2021-03-24,0.0,6.2,0.010828,-32274000.0,0.0,0.0
2021-03-25,0.0,6.43,0.037427,-32274000.0,0.0,0.0
2021-03-26,0.0,6.44,0.001928,-32274000.0,0.0,0.0
2021-03-29,-1049000.0,6.61,0.02578,-33323000.0,0.0,-1049000.0
2021-03-30,0.0,6.46,-0.022832,-33323000.0,0.0,0.0
2021-03-31,0.0,6.38,-0.01152,-33323000.0,0.0,0.0
2021-04-01,-3124000.0,6.53,0.023246,-36447000.0,0.0,-3124000.0
2021-04-05,0.0,5.9,-0.097041,-36447000.0,0.0,0.0
2021-04-06,0.0,5.64,-0.044097,-36447000.0,0.0,0.0
2021-04-07,0.0,5.93,0.052179,-36447000.0,0.0,0.0
2021-04-08,6441000.0,5.95,0.002967,-30006000.0,6441000.0,0.0
2021-04-12,-1462000.0,6.12,0.029142,-31468000.0,0.0,-1462000.0
2021-04-13,-1016000.0,6.37,0.039912,-32484000.0,0.0,-1016000.0
2021-04-14,0.0,6.35,-0.002356,-32484000.0,0.0,0.0
2021-04-15,-3122000.0,6.53,0.027373,-35606000.0,0.0,-3122000.0
2021-04-16,-1062000.0,6.64,0.017206,-36668000.0,0.0,-1062000.0
2021-04-19,-2217000.0,6.95,0.046377,-38885000.0,0.0,-2217000.0
2021-04-20,-1090000.0,6.87,-0.010839,-39975000.0,0.0,-1090000.0
2021-04-21,0.0,6.74,-0.019224,-39975000.0,0.0,0.0
2021-04-22,-2241000.0,7.01,0.039513,-42216000.0,0.0,-2241000.0
2021-04-23,0.0,6.94,-0.009506,-42216000.0,0.0,0.0
