date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2021-01-04,3000.0,10.96,-0.050272,3000.0,3000.0,0.0
2021-01-05,0.0,9.45,-0.137864,3000.0,0.0,0.0
2021-01-06,1864000.0,9.32,-0.013858,1867000.0,1864000.0,0.0
2021-01-07,2214000.0,9.23,-0.009928,4081000.0,2214000.0,0.0
2021-01-08,938000.0,9.58,0.037758,5019000.0,938000.0,0.0
2021-01-11,1811000.0,9.07,-0.053119,6830000.0,1811000.0,0.0
2021-01-12,453000.0,9.02,-0.004621,7283000.0,453000.0,0.0
2021-01-13,0.0,9.2,0.019762,7283000.0,0.0,0.0
2021-01-14,1275000.0,9.81,0.065813,8558000.0,1275000.0,0.0
2021-01-15,998000.0,9.07,-0.075347,9556000.0,998000.0,0.0
2021-01-19,-3000.0,10.75,0.185263,9553000.0,0.0,-3000.0
2021-01-20,3000.0,10.7,-0.00456,9556000.0,3000.0,0.0
2021-01-21,-4127000.0,11.15,0.042338,5429000.0,0.0,-4127000.0
2021-01-22,-2751000.0,11.7,0.049363,2678000.0,0.0,-2751000.0
2021-01-25,0.0,9.67,-0.1737,2678000.0,0.0,0.0
2021-01-26,-555000.0,9.25,-0.043986,2123000.0,0.0,-555000.0
2021-01-27,0.0,8.55,-0.075177,2123000.0,0.0,0.0
2021-01-28,1602000.0,8.91,0.042126,3725000.0,1602000.0,0.0
2021-01-29,2974000.0,9.91,0.112434,6699000.0,2974000.0,0.0
2021-02-01,0.0,6.59,-0.334725,6699000.0,0.0,0.0
2021-02-02,0.0,6.63,0.004868,6699000.0,0.0,0.0
2021-02-03,2903000.0,6.99,0.054909,9602000.0,2903000.0,0.0
2021-02-04,6349000.0,6.02,-0.139121,15951000.0,6349000.0,0.0
2021-02-05,381000.0,6.35,0.054743,16332000.0,381000.0,0.0
2021-02-08,-1179000.0,6.2,-0.022591,15153000.0,0.0,-1179000.0
2021-02-09,4150000.0,6.46,0.041002,19303000.0,4150000.0,0.0
2021-02-10,0.0,6.07,-0.059597,19303000.0,0.0,0.0
2021-02-11,-1716000.0,6.34,0.044653,17587000.0,0.0,-1716000.0
2021-02-12,-458000.0,6.07,-0.042544,17129000.0,0.0,-458000.0
2021-02-16,2969000.0,5.39,-0.111938,20098000.0,2969000.0,0.0
2021-02-17,-308000.0,5.13,-0.049205,19790000.0,0.0,-308000.0
2021-02-18,5362000.0,5.44,0.061172,25152000.0,5362000.0,0.0
2021-02-19,2531000.0,5.34,-0.02114,27683000.0,2531000.0,0.0
2021-02-22,1826000.0,5.63,0.054655,29509000.0,1826000.0,0.0
2021-02-23,0.0,6.08,0.080653,29509000.0,0.0,0.0
2021-02-24,-970000.0,6.48,0.065247,28539000.0,0.0,-970000.0
2021-02-25,-3428000.0,6.6,0.018949,25111000.0,0.0,-3428000.0
2021-02-26,-1450000.0,6.6,-8.6e-05,23661000.0,0.0,-1450000.0
2021-03-01,0.0,6.54,-0.009866,23661000.0,0.0,0.0
2021-03-02,-3542000.0,6.14,-0.060754,20119000.0,0.0,-3542000.0
2021-03-03,-818000.0,6.31,0.027046,19301000.0,0.0,-818000.0
2021-03-04,742000.0,6.76,0.071513,20043000.0,742000.0,0.0
2021-03-05,1410000.0,7.06,0.045215,21453000.0,1410000.0,0.0
2021-03-08,-736000.0,7.37,0.043823,20717000.0,0.0,-736000.0
2021-03-09,-4338000.0,7.39,0.002552,16379000.0,0.0,-4338000.0
2021-03-10,-2134000.0,7.12,-0.03591,14245000.0,0.0,-2134000.0
2021-03-11,-1023000.0,7.31,0.026948,13222000.0,0.0,-1023000.0
2021-03-12,0.0,7.83,0.070564,13222000.0,0.0,0.0
2021-03-15,0.0,8.78,0.121052,13222000.0,0.0,0.0
2021-03-16,-484000.0,8.08,-0.078971,12738000.0,0.0,-484000.0
2021-03-17,0.0,8.46,0.046254,12738000.0,0.0,0.0
2021-03-18,-2970000.0,8.87,0.049289,9768000.0,0.0,-2970000.0
2021-03-19,-664000.0,8.31,-0.06313,9104000.0,0.0,-664000.0
2021-03-22,-2270000.0,7.84,-0.057397,6834000.0,0.0,-2270000.0
2021-03-23,0.0,8.36,0.0661,6834000.0,0.0,0.0
2021-03-24,410000.0,8.21,-0.01729,7244000.0,410000.0,0.0
2021-03-25,777000.0,7.78,-0.05255,8021000.0,777000.0,0.0
2021-03-26,0.0,7.75,-0.003451,8021000.0,0.0,0.0
2021-03-29,-524000.0,7.5,-0.032727,7497000.0,0.0,-524000.0
2021-03-30,771000.0,7.72,0.02983,8268000.0,771000.0,0.0
2021-03-31,705000.0,7.84,0.015571,8973000.0,705000.0,0.0
2021-04-01,757000.0,7.57,-0.033823,9730000.0,757000.0,0.0
2021-04-05,0.0,8.53,0.127528,9730000.0,0.0,0.0
