date,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow
2021-01-04,-8632000.0,21.58,0.115822,-8632000.0,0.0,-8632000.0
2021-01-05,-17595000.0,23.46,0.087118,-26227000.0,0.0,-17595000.0
2021-01-06,-11825000.0,23.65,0.008099,-38052000.0,0.0,-11825000.0
2021-01-07,-10696000.0,23.77,0.005074,-48748000.0,0.0,-10696000.0
2021-01-08,0.0,23.15,-0.026083,-48748000.0,0.0,0.0
2021-01-11,-7191000.0,23.97,0.035421,-55939000.0,0.0,-7191000.0
2021-01-12,-9616000.0,24.04,0.00292,-65555000.0,0.0,-9616000.0
2021-01-13,-4744000.0,23.72,-0.013311,-70299000.0,0.0,-4744000.0
2021-01-14,0.0,22.68,-0.043845,-70299000.0,0.0,0.0
2021-01-15,-3571000.0,23.81,0.049824,-73870000.0,0.0,-3571000.0
2021-01-19,-3129000.0,20.86,-0.123897,-76999000.0,0.0,-3129000.0
2021-01-20,14644000.0,20.92,0.002876,-62355000.0,14644000.0,0.0
2021-01-21,8132000.0,20.33,-0.028203,-54223000.0,8132000.0,0.0
2021-01-22,0.0,19.66,-0.032956,-54223000.0,0.0,0.0
2021-01-25,3290000.0,21.93,0.115463,-50933000.0,3290000.0,0.0
2021-01-26,-5642000.0,22.57,0.029184,-56575000.0,0.0,-5642000.0
2021-01-27,-7110000.0,23.7,0.050067,-63685000.0,0.0,-7110000.0
2021-01-28,-6909000.0,23.03,-0.02827,-70594000.0,0.0,-6909000.0
2021-01-29,0.0,21.3,-0.075119,-70594000.0,0.0,0.0
2021-02-01,-5210000.0,26.05,0.223005,-75804000.0,0.0,-5210000.0
2021-02-02,-15576000.0,25.96,-0.003455,-91380000.0,0.0,-15576000.0
2021-02-03,-7479000.0,24.93,-0.039676,-98859000.0,0.0,-7479000.0
2021-02-04,0.0,27.54,0.104693,-98859000.0,0.0,0.0
2021-02-05,0.0,26.19,-0.04902,-98859000.0,0.0,0.0
2021-02-08,-3982000.0,26.55,0.013746,-102841000.0,0.0,-3982000.0
2021-02-09,7737000.0,25.79,-0.028625,-95104000.0,7737000.0,0.0
2021-02-10,4034000.0,26.89,0.042652,-91070000.0,4034000.0,0.0
2021-02-11,0.0,26.04,-0.03161,-91070000.0,0.0,0.0
2021-02-12,0.0,26.7,0.025346,-91070000.0,0.0,0.0
2021-02-16,-7110000.0,28.44,0.065169,-98180000.0,0.0,-7110000.0
2021-02-17,-4393000.0,29.29,0.029888,-102573000.0,0.0,-4393000.0
2021-02-18,-12636000.0,28.08,-0.041311,-115209000.0,0.0,-12636000.0
2021-02-19,-7132000.0,28.53,0.016026,-122341000.0,0.0,-7132000.0
2021-02-22,-8322000.0,27.74,-0.02769,-130663000.0,0.0,-8322000.0
2021-02-23,-3951000.0,26.34,-0.050469,-134614000.0,0.0,-3951000.0
2021-02-24,0.0,25.19,-0.04366,-134614000.0,0.0,0.0
2021-02-25,1248000.0,24.95,-0.009528,-133366000.0,1248000.0,0.0
2021-02-26,9980000.0,24.95,0.0,-123386000.0,9980000.0,0.0
2021-03-03,-11542000.0,25.65,0.028056,-134928000.0,0.0,-11542000.0
2021-03-04,0.0,24.42,-0.047953,-134928000.0,0.0,0.0
2021-03-05,0.0,23.68,-0.030303,-134928000.0,0.0,0.0
2021-03-08,0.0,22.97,-0.029983,-134928000.0,0.0,0.0
2021-03-09,0.0,22.94,-0.001306,-134928000.0,0.0,0.0
2021-03-10,0.0,23.48,0.02354,-134928000.0,0.0,0.0
2021-03-11,1153000.0,23.05,-0.018313,-133775000.0,1153000.0,0.0
2021-03-12,5478000.0,21.91,-0.049458,-128297000.0,5478000.0,0.0
2021-03-15,0.0,20.03,-0.085806,-128297000.0,0.0,0.0
2021-03-16,0.0,21.2,0.058412,-128297000.0,0.0,0.0
2021-03-17,2051000.0,20.51,-0.032547,-126246000.0,2051000.0,0.0
2021-03-18,0.0,19.81,-0.03413,-126246000.0,0.0,0.0
2021-03-19,5168000.0,20.67,0.043412,-121078000.0,5168000.0,0.0
2021-03-22,0.0,21.52,0.041122,-121078000.0,0.0,0.0
2021-03-23,-5112000.0,20.45,-0.049721,-126190000.0,0.0,-5112000.0
2021-03-24,0.0,20.68,0.011247,-126190000.0,0.0,0.0
2021-03-25,0.0,21.45,0.037234,-126190000.0,0.0,0.0
2021-03-26,0.0,21.5,0.002331,-126190000.0,0.0,0.0
2021-03-29,0.0,22.05,0.025581,-126190000.0,0.0,0.0
2021-03-30,0.0,21.55,-0.022676,-126190000.0,0.0,0.0
2021-03-31,-3196000.0,21.31,-0.011137,-129386000.0,0.0,-3196000.0
2021-04-01,0.0,21.81,0.023463,-129386000.0,0.0,0.0
2021-04-05,0.0,19.69,-0.097203,-129386000.0,0.0,0.0
2021-04-06,8474000.0,18.83,-0.043677,-120912000.0,8474000.0,0.0
2021-04-07,0.0,19.81,0.052045,-120912000.0,0.0,0.0
2021-04-08,-8928000.0,19.84,0.001514,-129840000.0,0.0,-8928000.0
2021-04-09,0.0,19.89,0.00252,-129840000.0,0.0,0.0
2021-04-12,0.0,20.45,0.028155,-129840000.0,0.0,0.0
2021-04-13,0.0,21.25,0.03912,-129840000.0,0.0,0.0
2021-04-14,-2120000.0,21.2,-0.002353,-131960000.0,0.0,-2120000.0
2021-04-15,-5412000.0,21.65,0.021226,-137372000.0,0.0,-5412000.0
2021-04-16,0.0,22.02,0.01709,-137372000.0,0.0,0.0
2021-04-19,0.0,22.89,0.03951,-137372000.0,0.0,0.0
2021-04-20,0.0,22.72,-0.007427,-137372000.0,0.0,0.0
2021-04-21,-4454000.0,22.27,-0.019806,-141826000.0,0.0,-4454000.0
2021-04-22,0.0,23.09,0.036821,-141826000.0,0.0,0.0
2021-04-23,0.0,22.86,-0.009961,-141826000.0,0.0,0.0
2021-04-26,0.0,23.67,0.035433,-141826000.0,0.0,0.0
2021-04-27,0.0,24.64,0.04098,-141826000.0,0.0,0.0
2021-04-28,-3735000.0,24.9,0.010552,-145561000.0,0.0,-3735000.0
2021-04-29,0.0,24.07,-0.033333,-145561000.0,0.0,0.0
2021-04-30,0.0,24.35,0.011633,-145561000.0,0.0,0.0
2021-05-03,0.0,24.93,0.023819,-145561000.0,0.0,0.0
2021-05-04,0.0,24.9,-0.001203,-145561000.0,0.0,0.0
2021-05-05,0.0,24.4,-0.02008,-145561000.0,0.0,0.0
2021-05-06,0.0,24.27,-0.005328,-145561000.0,0.0,0.0
2021-05-07,0.0,24.76,0.02019,-145561000.0,0.0,0.0
2021-05-10,0.0,24.33,-0.017367,-145561000.0,0.0,0.0
2021-05-11,0.0,24.67,0.013975,-145561000.0,0.0,0.0
2021-05-12,-6245000.0,24.98,0.012566,-151806000.0,0.0,-6245000.0
2021-05-14,0.0,24.98,0.0,-151806000.0,0.0,0.0
2021-05-17,0.0,27.4,0.096878,-151806000.0,0.0,0.0
2021-05-18,-3886000.0,25.91,-0.05438,-155692000.0,0.0,-3886000.0
2021-05-19,-6265000.0,25.06,-0.032806,-161957000.0,0.0,-6265000.0
2021-05-20,0.0,24.45,-0.024342,-161957000.0,0.0,0.0
