#,Trough Date,Trough Price,Peak Date,Peak Price,% Gain,Days,Gap,Trough Exact Vol,Trough ±3d Avg Vol,Trough -3d Avg Vol,Trough +3d Avg Vol,Trough Trail 30d Vol,Trough Trail 60d Vol,Trough Trail 90d Vol,Trough Trail 120d Vol,Trough Trail 150d Vol,Trough Trail 180d Vol,Peak Exact Vol,Peak ±3d Avg Vol,Peak -3d Avg Vol,Peak +3d Avg Vol,Peak Trail 30d Vol,Peak Trail 60d Vol,Peak Trail 90d Vol,Peak Trail 120d Vol,Peak Trail 150d Vol,Peak Trail 180d Vol
1,2012-01-19,1233000.0000,2012-01-25,1694000.0000,37.39,6,--,4,4,2,5,0,0,0,0,0,0,6,5,5,5,1,0,0,0,0,0
2,2012-04-19,590000.0000,2012-05-18,1007800.0000,70.81,29,85,7,6,5,6,7,7,5,3,3,3,16,14,15,13,9,8,7,5,4,4
3,2012-06-13,611600.0000,2012-07-31,1155200.0000,88.88,48,26,9,12,8,17,12,9,8,7,5,5,12,12,10,15,13,12,11,10,8,7
4,2012-08-28,742800.0000,2012-10-11,1188000.0000,59.94,44,28,14,13,15,11,12,12,12,11,10,8,18,12,9,12,16,14,14,13,12,11
5,2013-01-09,678000.0000,2013-04-18,1190200.0000,75.55,99,90,22,14,10,16,12,11,13,12,12,12,13,5,4,4,11,13,13,12,13,13
6,2013-11-04,550200.0000,2014-01-29,1254000.0000,127.92,86,200,25,16,19,10,10,9,9,8,8,9,31,21,23,16,12,13,12,11,11,10
7,2014-10-27,538800.0000,2014-11-20,809400.0000,50.22,24,271,9,8,8,7,7,6,5,5,4,5,24,19,20,16,10,9,7,6,5,5
8,2015-01-12,287600.0000,2015-01-14,382200.0000,32.89,2,53,16,16,12,21,16,14,12,10,9,7,28,17,11,19,16,14,12,10,9,8
9,2015-04-27,196600.0000,2015-05-15,279000.0000,41.91,18,103,23,14,8,16,15,17,17,17,15,13,6,12,12,15,14,15,17,17,15,14
10,2015-12-15,63400.0000,2016-01-08,101150.0000,59.54,24,214,45,48,56,41,25,26,22,21,21,20,26,29,38,21,40,28,27,24,24,22
11,2016-03-03,44200.0000,2016-10-13,93950.0000,112.56,224,55,67,63,44,80,27,35,29,28,25,24,42,24,30,11,25,26,27,27,29,30
12,2016-11-08,54400.0000,2016-12-28,99700.0000,83.27,50,26,82,56,39,65,33,29,29,29,29,31,29,56,58,63,56,47,39,36,35,34
13,2017-02-27,47100.0000,2017-05-12,66200.0000,40.55,74,61,52,62,65,62,67,66,58,50,46,42,33,53,28,84,25,43,50,51,49,45
14,2017-12-21,25650.0000,2018-01-29,38700.0000,50.88,39,223,326,283,255,296,187,143,129,118,110,96,225,287,254,339,302,235,189,165,149,136
15,2018-07-23,25200.0000,2018-11-14,71960.0000,185.56,114,175,132,97,93,88,92,98,112,132,167,167,762,472,362,486,126,103,95,95,97,106
16,2018-11-15,44300.0000,2018-11-28,61200.0000,38.15,13,1,472,495,524,473,134,106,97,97,98,106,282,177,121,197,208,158,130,120,117,121
17,2019-01-03,24420.0000,2019-01-14,32980.0000,35.05,11,36,101,137,175,112,238,188,152,133,126,122,437,223,132,242,156,182,158,136,128,124
18,2019-08-05,11360.0000,2019-09-16,17670.0000,55.55,42,203,579,463,617,269,284,194,160,148,159,173,330,229,254,171,309,294,232,196,179,184
19,2019-10-23,11480.0000,2019-11-05,15440.0000,34.49,13,37,508,519,407,636,346,330,305,256,221,206,597,600,683,519,455,357,337,295,255,228
20,2020-04-02,3740.0000,2020-05-05,5637.0000,50.72,33,149,669,533,468,554,415,528,534,535,486,457,2421,1730,1728,1501,647,556,602,575,563,512
21,2020-06-25,2290.0000,2020-09-04,4926.0000,115.11,71,51,13690,7072,3348,8590,1632,1297,1006,918,841,794,4785,7149,8476,6610,11027,9078,6640,5108,4179,3594
22,2020-10-02,3259.0000,2020-10-30,4278.0000,31.27,28,28,18188,20736,21219,21103,8163,10732,8262,6518,5299,4519,6981,11880,9472,15920,13168,10962,11016,8679,7125,6009
23,2020-12-28,1825.0000,2021-02-17,2912.0000,59.56,51,59,41639,23201,20239,20018,21703,17714,14571,14216,12006,10211,18212,20304,24709,16596,21349,22403,19269,16897,16072,14091
24,2021-04-06,1894.0000,2021-10-05,9521.0000,402.69,182,48,23537,13189,11432,11496,12073,16945,19178,17552,16312,15604,22965,21510,19355,23180,9090,8554,8939,8792,9366,11311
25,2021-10-18,6109.0000,2021-10-27,8180.0000,33.90,9,13,19448,15326,14170,15107,13371,10318,10112,9773,10000,11373,20087,20043,18794,21278,15159,11205,10551,10227,9996,10920
26,2021-12-30,2417.0000,2022-02-02,5602.0000,131.77,34,64,64211,37422,26125,39788,24904,22135,17786,15345,14217,13240,58268,44710,42894,42007,27146,26046,23285,19370,17334,15972
27,2022-02-10,2911.0000,2022-04-18,10562.0000,262.83,67,8,22110,34440,31685,41306,32987,28556,25369,21241,18613,17111,37235,26694,21763,28111,18729,25808,26763,25444,23334,20658
28,2022-04-22,7296.0000,2022-05-05,12446.0000,70.59,13,4,15181,22997,28111,20488,18411,25940,26185,25747,23804,21004,19888,20324,17247,23545,19918,23849,26301,25926,24513,21722
29,2022-05-09,7972.0000,2022-06-06,13179.0000,65.32,28,4,19682,19141,17826,20276,20376,23017,26340,25786,24428,21833,24240,26781,18963,35447,18200,18305,23360,24189,24237,22870
30,2022-07-05,4020.0000,2022-08-22,11785.0000,193.16,48,29,32206,35290,45024,26583,24395,22512,22012,24472,25353,24312,18074,18066,18774,17356,25285,26780,24369,23182,25047,25897
31,2022-09-07,7461.0000,2022-09-14,9947.0000,33.32,7,16,20530,17392,19621,14116,21079,26450,23495,22345,24555,24846,18464,17208,12215,21781,19459,25561,23526,22624,23655,24914
32,2022-10-21,3300.0000,2022-11-23,5460.0000,65.45,33,37,70099,53687,47891,54013,25962,23167,26030,24095,23121,24437,96773,65227,63667,56273,52740,37614,32972,32302,29622,27705
33,2022-12-06,2573.0000,2022-12-13,4158.0000,61.60,7,13,159284,142451,133766,145524,62423,44505,36485,35082,31882,29866,83126,102963,118878,93660,77570,55627,43224,39774,36266,33611
34,2023-02-21,441.0000,2023-03-03,786.0000,78.23,10,70,896698,755701,638429,825975,429519,271354,198203,154089,128103,111734,786228,719425,699522,717060,571714,365681,264191,204634,167782,145110
35,2023-05-04,266.0000,2023-05-18,377.0000,41.73,14,62,658717,590730,680827,477970,741509,705406,568352,448787,367091,308894,1096052,623171,506896,581820,675710,700387,613075,489428,402090,338823
36,2023-06-01,233.0000,2023-08-09,386.1500,65.73,69,14,943787,648800,661284,537988,587699,669067,648598,528890,435764,367717,1283360,831363,852080,659980,778304,677672,693202,690204,631116,543519
37,2023-10-02,255.4500,2023-10-11,358.6000,40.38,9,54,1263160,956111,882387,927487,909003,865561,781951,746995,743964,702587,838600,649789,732773,503867,995459,894196,808526,748674,752162,729405
38,2023-12-12,121.3000,2024-01-09,191.1500,57.58,28,62,1708400,1872814,2099933,1700500,1085037,965984,921487,874795,814657,801173,3338680,2470549,2114547,2537173,1569007,1168961,1112334,1033473,954537,891106
39,2024-02-20,68.6500,2024-03-05,93.9500,36.85,14,42,2861280,3037386,3183653,2949820,2377832,1975168,1560539,1415723,1292135,1180994,1654960,1768903,1947227,1628560,2562146,2229873,1802035,1578500,1426707,1303724
40,2024-03-27,62.2500,2024-06-11,118.3000,90.04,76,22,3094840,2270569,1775427,2490953,2396439,2293218,2024483,1701469,1545962,1426094,1941280,1890806,2308500,1456287,1850981,1917119,2087866,2072575,1911099,1723536
41,2024-08-05,43.0000,2024-10-03,60.4500,40.58,59,55,2685140,3066163,3579860,2679473,2197806,2018477,1988627,2094018,2104653,1999570,2272960,2436351,2624800,2302367,2368312,2492810,2270307,2128876,2117104,2192438
42,2024-11-08,36.0300,2025-01-16,78.8800,118.93,69,36,1973500,2782306,2682347,3151867,2705275,2488787,2523485,2348340,2223271,2220412,4562000,3845443,4422633,3029400,4025037,3536092,3150535,2984676,2795307,2637920
43,2025-01-30,51.6100,2025-03-10,105.2700,103.97,39,14,3678300,3148714,2690833,3430067,3863713,3689457,3292101,3045883,2907196,2721081,1394200,1524357,1982133,1109967,2588437,3299560,3324225,3086172,2969673,2822260
44,2025-04-24,47.9400,2025-05-09,69.5600,45.10,15,45,5354500,3358657,2328467,3723567,1731767,2139100,2713406,2914444,2817403,2752169,1919600,1835271,1793667,1848767,2282437,2111322,2624907,2889233,2860513,2768031
45,2025-10-16,24.7500,2025-12-05,43.6200,76.24,50,160,9239900,8122671,7445933,8427000,6328083,5988532,5186334,4591453,4022300,3768273,16625200,9678671,7778233,9263600,7928207,7317943,6761252,6059173,5380398,4848293
46,2026-01-09,15.7300,2026-01-30,40.6700,158.55,21,35,23105300,14821871,10687500,16195100,9380970,8677947,7879492,7249131,6525185,5890556,18659900,19371600,20360333,18620100,14518673,11343655,10100817,8934488,8085256,7201806
