#,Trough Date,Trough Price,Peak Date,Peak Price,% Gain,Days,Gap,Trough Exact Vol,Trough ±3d Avg Vol,Trough -3d Avg Vol,Trough +3d Avg Vol,Trough Trail 30d Vol,Trough Trail 60d Vol,Trough Trail 90d Vol,Trough Trail 120d Vol,Trough Trail 150d Vol,Trough Trail 180d Vol,Peak Exact Vol,Peak ±3d Avg Vol,Peak -3d Avg Vol,Peak +3d Avg Vol,Peak Trail 30d Vol,Peak Trail 60d Vol,Peak Trail 90d Vol,Peak Trail 120d Vol,Peak Trail 150d Vol,Peak Trail 180d Vol
1,2011-10-06,181.9556,2012-01-19,493.6889,171.32,105,--,720,2706,--,3368,--,--,--,--,--,--,7020,15281,6555,26760,2320,2488,2481,2481,2481,2481
2,2012-01-25,342.8000,2012-04-19,819.5555,139.08,85,6,17505,20093,26760,14288,2928,2867,2714,2714,2714,2714,3420,2745,2880,2385,3126,6022,4937,4386,4196,4196
3,2012-05-23,435.3333,2012-06-13,676.8000,55.47,21,34,690,2529,2898,2773,3064,3229,5223,4475,4065,4029,1088,2985,1445,5158,2982,3002,3631,4489,4157,3922
4,2012-07-31,291.3333,2012-08-28,430.4000,47.73,28,48,5415,7380,4565,10850,3335,3034,3093,3358,4192,4018,7230,5470,6288,4065,4743,3896,3604,3491,4537,4269
5,2012-11-23,241.7333,2013-01-09,387.2000,60.18,47,87,2573,4982,6133,4635,5988,6830,6133,5372,4892,4598,12983,6193,3615,6508,5132,5472,6277,5893,5324,4940
6,2013-04-18,196.9333,2013-11-04,348.5333,76.98,200,99,27630,12551,10808,9268,12366,9869,8357,7661,7767,7354,4470,3990,3890,3930,4270,5005,5154,6432,7898,8321
7,2014-04-29,119.0333,2014-10-27,202.3667,70.01,181,176,16290,14066,17170,10220,28442,51596,41330,32001,26454,23002,3570,6746,7000,7550,8895,9186,12071,13768,15945,23001
8,2014-11-20,125.2000,2015-04-27,325.0000,159.58,158,24,37530,23271,23000,18790,9360,9383,10256,12534,13847,16375,3690,7539,5630,10730,11548,12276,11942,12611,11847,11378
9,2015-05-18,219.7667,2015-12-15,730.0000,232.17,211,21,12930,14156,10650,18070,8142,11035,11548,12013,11531,11239,4680,4719,4520,4930,5726,4587,5134,6097,7481,7583
10,2016-01-08,422.2667,2016-03-03,848.0667,100.84,55,24,9030,5014,4730,3960,5936,5214,4731,5771,6823,7324,2670,2683,3660,1710,3474,4290,4858,4470,5044,5885
