#,Trough Date,Trough Price,Peak Date,Peak Price,% Gain,Days,Gap,Trough Exact Vol,Trough ±3d Avg Vol,Trough -3d Avg Vol,Trough +3d Avg Vol,Trough Trail 30d Vol,Trough Trail 60d Vol,Trough Trail 90d Vol,Trough Trail 120d Vol,Trough Trail 150d Vol,Trough Trail 180d Vol,Peak Exact Vol,Peak ±3d Avg Vol,Peak -3d Avg Vol,Peak +3d Avg Vol,Peak Trail 30d Vol,Peak Trail 60d Vol,Peak Trail 90d Vol,Peak Trail 120d Vol,Peak Trail 150d Vol,Peak Trail 180d Vol
1,2008-07-03,16.1000,2009-03-18,164.5500,922.05,258,--,34080,40126,33467,48800,56205,44255,35983,28855,28855,28855,55920,56463,57307,55800,66308,45375,51560,60040,76511,78578
2,2009-03-24,112.3750,2009-04-27,194.7500,73.30,34,6,18320,51617,55800,58533,64073,47882,51109,59881,75193,78148,8664,8438,8595,8205,37535,50607,41891,49564,57722,71231
3,2009-05-12,103.7500,2009-05-22,160.3750,54.58,10,15,76600,62459,62869,57336,24791,42432,41737,43344,51639,64851,22008,31522,46469,19747,29309,42986,45435,41439,48966,62846
4,2009-06-17,105.6250,2009-07-13,186.2500,76.33,26,26,137672,145992,169336,125421,56862,42085,49364,44665,47628,53946,39288,76611,48643,117021,88820,59714,56985,56665,49635,54620
5,2009-08-05,117.7500,2009-09-03,341.8750,190.34,29,23,256080,189599,213688,143349,95969,83471,63435,63276,58058,57248,233560,199253,138608,248461,121826,106454,85323,73376,71437,63607
6,2009-09-15,86.1250,2009-12-03,211.5000,145.57,79,12,428704,441941,433893,454401,136512,120409,100164,81589,78086,70353,112216,136206,137332,143077,183754,317003,252457,213446,180595,155887
7,2010-01-06,108.5000,2010-03-31,236.7500,118.20,84,34,790468,434217,305788,443896,160673,223227,263842,227040,199576,171433,182484,168023,132252,198975,153610,233659,209117,230852,251310,228574
8,2010-06-15,126.0000,2010-10-22,297.5000,136.11,129,76,125876,146745,153396,147051,119920,135637,154318,190503,178912,217470,35488,59366,49588,77103,95939,117678,119699,120051,126435,137165
9,2011-01-21,177.2500,2011-03-03,271.2500,53.03,41,91,149796,197026,223880,185915,135407,109754,103499,111926,114609,115892,100992,103718,117916,90428,126364,129790,113927,109430,115428,116813
10,2011-06-08,163.7500,2012-01-19,766.5000,368.09,225,97,64388,93791,94687,102697,101136,118604,115732,123635,117868,112354,58028,57686,50780,64479,45515,45322,52982,60267,66780,72358
11,2012-01-25,531.2500,2012-04-19,1250.5000,135.39,85,6,80736,63317,64479,56349,46876,45788,50752,59218,65470,71110,33328,25933,23359,26041,45010,54720,51722,49917,52679,57725
12,2012-05-18,629.0000,2012-06-13,977.0000,55.33,26,29,13000,11260,10520,11420,25761,41501,47344,45361,46092,51865,11429,15366,9371,22672,14486,26187,38194,41865,41101,43178
13,2012-07-31,398.0000,2012-08-28,581.0000,45.98,28,48,16999,19288,20149,19190,17913,14956,21977,31547,36516,36363,29438,27262,32177,21623,20547,17616,17963,24725,32666,34843
