#,Trough Date,Trough Price,Peak Date,Peak Price,% Gain,Days,Gap,Trough Exact Vol,Trough ±3d Avg Vol,Trough -3d Avg Vol,Trough +3d Avg Vol,Trough Trail 30d Vol,Trough Trail 60d Vol,Trough Trail 90d Vol,Trough Trail 120d Vol,Trough Trail 150d Vol,Trough Trail 180d Vol,Peak Exact Vol,Peak ±3d Avg Vol,Peak -3d Avg Vol,Peak +3d Avg Vol,Peak Trail 30d Vol,Peak Trail 60d Vol,Peak Trail 90d Vol,Peak Trail 120d Vol,Peak Trail 150d Vol,Peak Trail 180d Vol
1,2012-12-20,89387.1727,2013-01-09,124115.0000,38.85,20,--,0,0,--,0,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
2,2013-01-21,76375.0000,2013-02-18,109600.0000,43.50,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013-05-01,40830.0000,2013-08-09,90640.0000,121.99,100,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013-10-16,56825.0000,2013-11-04,86910.0000,52.94,19,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013-12-23,37150.0000,2014-01-10,50535.0000,36.03,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014-02-24,14680.0000,2014-03-24,19460.0000,32.56,28,45,17,10,11,6,9,5,3,2,2,2,0,0,0,0,7,7,5,3,3,2
7,2014-04-29,13110.0000,2014-10-24,26620.0000,103.05,178,36,17,2,0,0,1,5,5,3,3,2,0,0,0,0,3,2,2,2,2,3
8,2014-11-07,13970.0000,2014-11-14,19312.5000,38.24,7,14,17,19,17,23,3,2,2,2,2,2,17,22,23,23,5,3,3,3,3,3
9,2014-11-19,12500.0000,2015-01-06,41205.0000,229.64,48,5,34,17,17,11,7,4,4,3,3,3,0,0,0,0,10,9,6,6,5,4
10,2015-01-15,26245.0000,2015-02-06,42640.0000,62.47,22,9,17,2,0,0,6,9,6,5,5,4,0,5,0,11,4,9,7,6,5,5
