#,Trough Date,Trough Price,Peak Date,Peak Price,% Gain,Days,Gap,Trough Exact Vol,Trough ±3d Avg Vol,Trough -3d Avg Vol,Trough +3d Avg Vol,Trough Trail 30d Vol,Trough Trail 60d Vol,Trough Trail 90d Vol,Trough Trail 120d Vol,Trough Trail 150d Vol,Trough Trail 180d Vol,Peak Exact Vol,Peak ±3d Avg Vol,Peak -3d Avg Vol,Peak +3d Avg Vol,Peak Trail 30d Vol,Peak Trail 60d Vol,Peak Trail 90d Vol,Peak Trail 120d Vol,Peak Trail 150d Vol,Peak Trail 180d Vol
1,2013-01-09,2328999750.0000,2013-01-21,3650682420.0000,56.75,12,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013-02-18,2362989510.0000,2013-04-18,5389013280.0000,128.06,59,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013-08-09,1815394980.0000,2013-09-19,2648377620.0000,45.88,41,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013-11-04,1613336340.0000,2013-12-23,3437032830.0000,113.04,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014-01-10,2387267820.0000,2014-02-21,4862407620.0000,103.68,42,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014-03-24,3176549460.0000,2014-04-29,4345200300.0000,36.79,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014-10-24,1446207210.0000,2014-11-07,2591519280.0000,79.19,14,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015-01-12,513604822.5000,2015-01-15,713470590.0000,38.91,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015-02-06,359241435.0000,2015-02-23,508279275.0000,41.49,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015-04-27,258133811.2500,2015-05-14,426124413.7500,65.08,17,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015-06-05,258564547.5000,2015-06-10,344517783.7500,33.24,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
